"","County","Population","DVM","PharmD","SWs","PTs","PAs","PCPs","Psych","FM","GPs","Gers","IM","OB.GYN","Peds","sqmi"
"199","Rockwall",95829,30,76,52,79,30,82,4,31,4,0,9,15,23,127.1046512736
"200","Runnels",10756,4,12,8,7,2,7,0,6,1,0,0,0,0,1050.9386857398
"201","Rusk",58150,10,25,18,11,4,15,0,11,0,0,2,0,2,924.0317925696
"202","Sabine",11486,1,5,1,1,2,2,0,2,0,0,0,0,0,491.3873634384
"203","San Augustine",9151,1,7,3,0,0,3,0,2,1,0,0,0,0,530.654094828
"204","San Jacinto",29386,1,6,4,1,1,4,0,4,0,0,0,0,0,569.2396759335
"205","San Patricio",66697,12,35,22,9,12,19,2,12,1,0,4,0,2,693.432121239
"206","San Saba",6296,2,3,4,1,1,1,0,1,0,0,0,0,0,1135.3217905458
"207","Schleicher",3726,1,0,0,1,1,1,0,1,0,0,0,0,0,1310.6412113652
"208","Scurry",17884,2,13,5,5,4,8,0,6,1,0,1,0,0,905.4386354871
"209","Shackelford",3552,1,6,0,2,0,0,0,0,0,0,0,0,0,914.2809015483
"210","Shelby",27068,5,9,16,5,2,5,0,2,1,0,2,0,0,795.5796322188
"211","Sherman",3220,2,0,1,0,0,0,0,0,0,0,0,0,0,923.0292955026
"212","Smith",225731,61,291,199,203,69,252,22,86,7,0,98,27,34,921.4802113374
"213","Somervell",9436,5,6,8,6,2,11,0,9,0,0,2,0,0,186.46201431
"214","Starr",65101,1,22,15,5,23,14,1,7,1,0,2,0,4,1223.1881331813
"215","Stephens",9941,3,6,3,1,2,8,0,5,2,0,1,0,0,896.7144140955
"216","Sterling",1193,0,0,0,0,0,0,0,0,0,0,0,0,0,923.4504452745
"217","Stonewall",1508,1,1,1,2,2,2,0,2,0,0,0,0,0,916.3082338839
"218","Sutton",4417,4,2,0,2,1,3,0,3,0,0,0,0,0,1453.869187056
"219","Swisher",8055,3,4,2,2,1,3,0,3,0,0,0,0,0,890.1545947866
"220","Tarrant",1959449,465,1987,2116,1219,542,1581,133,559,45,8,444,213,312,863.6076167004
"221","Taylor",135409,38,157,186,152,43,109,7,37,4,1,36,14,17,915.5463944913
"222","Terrell",1026,0,0,0,0,0,0,0,0,0,0,0,0,0,2357.9933169078
"223","Terry",13027,1,9,1,3,1,6,0,5,0,0,1,0,0,888.8343563385
"224","Throckmorton",1655,1,0,0,0,0,2,0,1,1,0,0,0,0,912.5471241315
"225","Titus",34910,8,21,24,13,5,21,2,4,1,0,4,5,7,406.052099739
"226","Tom Green",112579,36,95,94,73,29,111,9,33,4,1,38,15,20,1521.975489606
"227","Travis",1144887,439,1128,2556,943,381,1111,221,379,31,2,302,146,251,990.5132075553
"228","Trinity",15618,2,8,2,0,4,3,0,1,0,0,1,0,1,693.6250268376
"229","Tyler",22257,6,9,5,4,1,4,0,2,2,0,0,0,0,924.4956110247
"230","Upshur",42223,10,13,14,12,2,17,1,12,2,0,2,1,0,582.9305078025
"231","Upton",3632,0,1,1,2,5,3,0,2,0,0,1,0,0,1241.3156054013
"232","Uvalde",27543,11,15,13,12,6,17,0,13,0,0,2,1,1,1551.9370264398
"233","Val Verde",51217,3,17,14,14,11,25,1,9,5,0,4,3,4,3144.7319290101
"234","Van Zandt",55413,16,25,27,9,5,9,1,4,3,0,2,0,0,842.5523126592
"235","Victoria",89831,17,89,66,60,19,87,4,29,4,0,31,10,13,882.136971144
"236","Walker",70199,13,70,34,23,14,37,2,15,2,0,13,6,1,784.176856749
"237","Waller",50082,25,14,17,3,1,4,2,2,1,0,1,0,0,513.3335828049
"238","Ward",10960,3,5,2,2,5,2,0,1,0,0,1,0,0,835.5977879535
"239","Washington",35712,27,33,21,16,7,29,1,16,2,0,4,2,5,603.952029252
"240","Webb",282143,7,107,76,39,13,104,6,36,3,0,23,21,21,3361.4638786872
"241","Wharton",42332,11,27,23,18,9,23,0,11,0,0,5,3,4,1086.1441177158
"242","Wheeler",5637,4,4,2,1,1,4,0,1,3,0,0,0,0,914.5178260218
"243","Wichita",132279,32,113,205,92,24,113,26,60,3,0,19,16,15,627.7767382458
"244","Wilbarger",14220,6,13,43,4,0,7,6,4,0,0,2,0,1,970.8385681566
"245","Willacy",24444,0,7,12,5,7,8,0,5,0,0,2,0,1,590.551444197
"246","Williamson",518755,184,445,397,342,119,407,38,154,5,2,103,58,85,1118.2950195417
"247","Wilson",49833,20,17,25,18,7,15,1,11,1,0,1,1,1,803.7300414429
"248","Winkler",7755,0,2,1,1,2,1,0,1,0,0,0,0,0,841.1163183423
"249","Wise",66321,28,40,32,37,17,33,2,23,0,0,3,3,4,904.3916021712
"250","Wood",45341,14,24,15,12,3,24,0,14,1,0,6,0,3,645.2327879712
"251","Yoakum",8687,1,5,0,3,2,4,0,1,1,0,1,1,0,799.7041863954
"252","Young",19220,10,17,19,19,0,14,0,10,0,0,2,1,1,914.4639403614
"253","Zapata",15544,0,2,0,0,1,2,0,1,0,0,0,0,1,998.4066930981
"254","Zavala",12324,0,1,3,1,4,3,0,0,1,0,1,0,1,1297.3992875415
